Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb,3966,0,32,91.7399816439761,4.504999998971471,2643.3362000007037,1040095.0,67.18203367053529,0.0,32,45,58,71,150,330,690,1600,2400,2600,2600
GET,imagem_300kb,3809,0,27,53.4813581517454,1.9177000012859935,2400.387599998794,301968.0,64.52253309406679,0.0,27,38,47,54,85,130,210,560,2300,2400,2400
GET,texto_400kb,3813,401,2200,2097.080575190116,6.041900000127498,7618.581499998982,419876.18017309206,64.59029107053733,6.792737141171116,2200,2800,3200,3400,3800,4200,4500,4700,6000,7600,7600
,Aggregated,11588,401,48,739.0161799792795,1.9177000012859935,7618.581499998982,593389.7788229203,196.2948578351394,6.792737141171116,48,160,980,1700,3000,3600,4100,4400,5200,6300,7600
