Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb,2709,0,8,13.685349243252661,2.5574999999662396,333.1649000010657,1040095.0,45.59851762844485,0.0,8,11,14,16,26,46,79,99,210,330,330
GET,imagem_300kb,2701,0,5,8.055183598691308,1.7428999999538064,317.3893000002863,301968.0,45.46385976907698,0.0,5,7,9,10,15,22,36,59,150,320,320
GET,texto_400kb,2701,0,140,158.57469241023045,90.3132999992522,713.0571999987296,468937.0,45.46385976907698,0.0,140,150,170,180,240,310,410,450,650,710,710
,Aggregated,8111,0,11,60.05929061768806,1.7428999999538064,713.0571999987296,604097.1224263347,136.52623716659883,0.0,11,90,120,130,160,210,300,350,530,710,710
