Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb,8277,0,6,10.87562824694936,2.337099998840131,320.1048000009905,1040095.0,139.68793522093878,0.0,6,7,8,9,13,21,110,140,310,320,320
,Aggregated,8277,0,6,10.87562824694936,2.337099998840131,320.1048000009905,1040095.0,139.68793522093878,0.0,6,7,8,9,13,21,110,140,310,320,320
