Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb,4091,0,23,101.27369247128131,4.133100001126877,4424.9857000013435,1040095.0,68.40640566521797,0.0,23,32,41,49,120,270,970,2400,4300,4400,4400
GET,imagem_300kb,3939,0,20,48.030329093673934,2.0232000006217277,4149.338300001546,301968.0,65.86478413964645,0.0,20,28,35,41,68,110,220,330,3300,4100,4100
GET,texto_400kb,3956,400,2000,2025.324199823038,6.499600000097416,9206.016399999498,421767.5358948433,66.14904444184852,6.688477698872449,2000,2700,3100,3300,3900,4300,4900,5500,8500,9200,9200
,Aggregated,11986,400,35,718.8123374520231,2.0232000006217277,9206.016399999498,593441.7628066078,200.42023424671294,6.688477698872449,35,140,820,1500,3000,3600,4200,4600,6700,8800,9200
