Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,texto_400kb,3915,0,750,952.5402226564552,90.9059999994497,6185.318499999994,468937.0,66.0340861300311,0.0,750,1000,1200,1300,1700,3000,3900,4200,5300,6200,6200
,Aggregated,3915,0,750,952.5402226564552,90.9059999994497,6185.318499999994,468937.0,66.0340861300311,0.0,750,1000,1200,1300,1700,3000,3900,4200,5300,6200,6200
