Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb,3681,0,27,55.61297652812973,4.525700000158395,1322.5445000007312,1040095.0,62.195291977290985,0.0,27,37,47,56,110,220,390,550,1100,1300,1300
GET,imagem_300kb,3600,0,22,38.48443225000461,2.0908000005874783,1308.7703000001056,301968.0,60.82669142033348,0.0,22,32,41,47,74,110,190,330,1000,1300,1300
GET,texto_400kb,3600,0,990,1070.6493935277692,166.34379999959492,3456.3008999994054,468937.0,60.82669142033348,0.0,990,1300,1500,1600,1900,2100,2400,2500,2900,3500,3500
,Aggregated,10881,0,44,385.77273590662986,2.0908000005874783,3456.3008999994054,606915.5128205129,183.84867481795794,0.0,44,250,570,800,1400,1800,2100,2300,2700,3100,3500
