Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_300kb,8365,0,3,5.6397879737067065,1.4073000002099434,321.1057000007713,301968.0,141.00597072392634,0.0,3,4,4,5,6,7,57,73,93,320,320
,Aggregated,8365,0,3,5.6397879737067065,1.4073000002099434,321.1057000007713,301968.0,141.00597072392634,0.0,3,4,4,5,6,7,57,73,93,320,320
