Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb,3825,0,28,292.71312894117125,2.8066000013495795,7504.1122999991785,1040095.0,64.04843046278927,0.0,28,52,85,120,320,2300,4000,4500,7300,7500,7500
GET,imagem_300kb,3674,0,23,104.39536499727305,1.8930999995063758,7326.136499999848,301968.0,61.51998261968307,0.0,23,36,54,70,130,230,1200,2800,4100,7300,7300
GET,texto_400kb,3696,0,1800,1995.2604466991202,91.24450000126672,9681.94829999993,468937.0,61.88836574914225,0.0,1800,2500,2900,3200,3700,4000,4600,5300,8800,9700,9700
,Aggregated,11195,0,66,793.0021348994977,1.8930999995063758,9681.94829999993,609288.5179991068,187.4567788316146,0.0,66,440,1200,1700,2900,3500,4100,4600,7300,9400,9700
