Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,imagem_1mb,3592,0,21,57.44431241647912,2.9130000002624,3412.111699999514,1040095.0,60.16377009265681,0.0,21,28,34,39,64,150,420,1300,2900,3400,3400
GET,imagem_300kb,3507,0,16,29.510934188770833,1.793299999917508,3600.6922999986273,301968.0,58.74007286050875,0.0,16,22,27,31,43,60,98,140,2900,3600,3600
GET,texto_400kb,3520,0,1000,1205.9579930113787,91.6983999995864,4952.374499998768,468937.0,58.957814790131394,0.0,1000,1500,1800,1900,2400,2800,3200,3500,4500,5000,5000
,Aggregated,10619,0,31,428.9299323665188,1.793299999917508,4952.374499998768,606995.1272247857,177.86165774329695,0.0,31,190,540,840,1600,2100,2700,3000,3900,4800,5000
